x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:02,1970-01-01 01:02:07,0.0,125.0,125.0
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:14,1970-01-01 01:00:32,2.0,18.0,20.0
-2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:22,1970-01-01 01:01:48,0.0,86.0,86.0
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:32,1970-01-01 01:01:16,0.0,44.0,44.0
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:42,1970-01-01 01:00:47,0.0,5.0,5.0
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:01:15,1970-01-01 01:01:31,23.0,16.0,39.0
-1.75,-0.75,1970-01-01 01:03:33,1970-01-01 01:03:41,1970-01-01 01:03:52,8.0,11.0,19.0
1.25,3.25,1970-01-01 01:01:12,1970-01-01 01:01:35,1970-01-01 01:02:11,23.0,36.0,59.0
-3.25,2.75,1970-01-01 01:01:22,1970-01-01 01:01:28,1970-01-01 01:01:59,6.0,31.0,37.0
3.75,3.75,1970-01-01 01:01:32,1970-01-01 01:02:17,1970-01-01 01:03:05,45.0,48.0,93.0
-0.25,-3.25,1970-01-01 01:01:42,1970-01-01 01:01:58,1970-01-01 01:02:22,16.0,24.0,40.0
0.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:26,5.0,28.0,33.0
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:03,1970-01-01 01:02:14,0.0,11.0,11.0
0.75,-1.75,1970-01-01 01:02:13,1970-01-01 01:02:18,1970-01-01 01:03:02,5.0,44.0,49.0
-0.25,-2.75,1970-01-01 01:08:46,1970-01-01 01:08:46,1970-01-01 01:09:54,0.0,68.0,68.0
1.75,1.75,1970-01-01 01:02:33,1970-01-01 01:02:33,1970-01-01 01:02:43,0.0,10.0,10.0
1.25,2.75,1970-01-01 01:02:43,1970-01-01 01:02:48,1970-01-01 01:03:16,5.0,28.0,33.0
-2.25,-1.75,1970-01-01 01:02:53,,,,,
0.25,-0.75,1970-01-01 01:03:03,1970-01-01 01:03:03,1970-01-01 01:03:11,0.0,8.0,8.0
-2.75,-3.75,1970-01-01 01:03:13,1970-01-01 01:03:19,1970-01-01 01:04:10,6.0,51.0,57.0
1.75,-4.25,1970-01-01 01:03:23,1970-01-01 01:03:29,1970-01-01 01:04:08,6.0,39.0,45.0
-1.75,-0.75,1970-01-01 01:03:33,1970-01-01 01:03:41,1970-01-01 01:03:52,8.0,11.0,19.0
0.75,2.25,1970-01-01 01:03:43,1970-01-01 01:04:24,1970-01-01 01:04:51,41.0,27.0,68.0
-1.75,-0.25,1970-01-01 01:03:53,1970-01-01 01:03:59,1970-01-01 01:05:11,6.0,72.0,78.0
-2.25,-0.25,1970-01-01 01:04:04,1970-01-01 01:04:07,1970-01-01 01:05:18,3.0,71.0,74.0
-2.75,-0.25,1970-01-01 01:04:14,1970-01-01 01:04:14,1970-01-01 01:04:36,0.0,22.0,22.0
-1.25,-1.25,1970-01-01 01:04:24,1970-01-01 01:04:24,1970-01-01 01:04:30,0.0,6.0,6.0
2.25,-4.25,1970-01-01 01:04:34,1970-01-01 01:06:04,1970-01-01 01:06:53,90.0,49.0,139.0
2.75,3.75,1970-01-01 01:04:44,,,,,
2.75,-3.25,1970-01-01 01:04:54,1970-01-01 01:06:30,1970-01-01 01:06:59,96.0,29.0,125.0
-1.25,0.25,1970-01-01 01:05:04,,,,,
0.75,0.25,1970-01-01 01:05:14,1970-01-01 01:05:20,1970-01-01 01:05:44,6.0,24.0,30.0
0.25,0.75,1970-01-01 01:05:24,1970-01-01 01:05:24,1970-01-01 01:05:37,0.0,13.0,13.0
0.75,-0.25,1970-01-01 01:05:34,1970-01-01 01:05:35,1970-01-01 01:05:40,1.0,5.0,6.0
1.25,1.25,1970-01-01 01:05:44,1970-01-01 01:05:51,1970-01-01 01:06:22,7.0,31.0,38.0
-3.25,-1.25,1970-01-01 01:05:54,1970-01-01 01:06:01,1970-01-01 01:06:24,7.0,23.0,30.0
2.75,0.75,1970-01-01 01:06:05,1970-01-01 01:06:05,1970-01-01 01:06:32,0.0,27.0,27.0
-0.75,-4.25,1970-01-01 01:06:15,1970-01-01 01:06:20,1970-01-01 01:06:36,5.0,16.0,21.0
-3.75,2.75,1970-01-01 01:06:25,,,,,
0.75,-3.25,1970-01-01 01:06:35,1970-01-01 01:06:40,1970-01-01 01:07:04,5.0,24.0,29.0
-0.25,1.25,1970-01-01 01:06:45,1970-01-01 01:06:50,1970-01-01 01:09:08,5.0,138.0,143.0
0.75,1.25,1970-01-01 01:06:55,1970-01-01 01:06:56,1970-01-01 01:09:02,1.0,126.0,127.0
3.25,-3.75,1970-01-01 01:07:05,1970-01-01 01:07:11,1970-01-01 01:07:51,6.0,40.0,46.0
-2.75,-1.25,1970-01-01 01:07:15,1970-01-01 01:07:15,1970-01-01 01:07:37,0.0,22.0,22.0
1.25,3.75,1970-01-01 01:07:55,1970-01-01 01:08:23,1970-01-01 01:08:48,28.0,25.0,53.0
2.25,-0.25,1970-01-01 01:07:35,1970-01-01 01:08:19,1970-01-01 01:09:03,44.0,44.0,88.0
-1.75,-3.75,1970-01-01 01:08:15,1970-01-01 01:08:16,1970-01-01 01:08:27,1.0,11.0,12.0
1.25,3.75,1970-01-01 01:07:55,1970-01-01 01:08:23,1970-01-01 01:08:48,28.0,25.0,53.0
2.25,3.75,1970-01-01 01:08:05,,,,,
-1.75,-3.75,1970-01-01 01:08:15,1970-01-01 01:08:16,1970-01-01 01:08:27,1.0,11.0,12.0
1.25,-1.75,1970-01-01 01:08:26,,,,,
3.75,1.75,1970-01-01 01:08:36,,,,,
-0.25,-2.75,1970-01-01 01:08:46,1970-01-01 01:08:46,1970-01-01 01:09:54,0.0,68.0,68.0
-3.75,-1.25,1970-01-01 01:08:56,1970-01-01 01:08:56,1970-01-01 01:09:10,0.0,14.0,14.0
-2.25,2.25,1970-01-01 01:09:06,1970-01-01 01:09:06,1970-01-01 01:09:24,0.0,18.0,18.0
1.75,-3.75,1970-01-01 01:09:16,1970-01-01 01:09:23,1970-01-01 01:09:41,7.0,18.0,25.0
0.75,-2.75,1970-01-01 01:09:26,1970-01-01 01:09:31,1970-01-01 01:10:03,5.0,32.0,37.0
3.25,3.75,1970-01-01 01:09:36,,,,,
-2.25,-1.25,1970-01-01 01:09:46,1970-01-01 01:09:52,,6.0,,
1.25,4.25,1970-01-01 01:09:56,,,,,
