x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:17,1970-01-01 01:01:08,15.0,51.0,66.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:00:43,0.0,31.0,31.0
0.25,2.25,1970-01-01 01:00:22,,,,,
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:32,1970-01-01 01:00:50,0.0,18.0,18.0
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,1970-01-01 01:00:58,1970-01-01 01:01:12,6.0,14.0,20.0
0.25,4.25,1970-01-01 01:01:02,1970-01-01 01:01:12,1970-01-01 01:01:39,10.0,27.0,37.0
-0.25,-3.75,1970-01-01 01:01:12,1970-01-01 01:01:13,1970-01-01 01:01:31,1.0,18.0,19.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,1970-01-01 01:02:39,1970-01-01 01:03:02,66.0,23.0,89.0
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:48,1970-01-01 01:02:22,5.0,34.0,39.0
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:13,5.0,15.0,20.0
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:08,1970-01-01 01:02:34,5.0,26.0,31.0
2.25,4.25,1970-01-01 01:02:13,1970-01-01 01:02:43,1970-01-01 01:03:00,30.0,17.0,47.0
-2.75,2.75,1970-01-01 01:02:23,1970-01-01 01:03:30,1970-01-01 01:03:48,67.0,18.0,85.0
-1.25,-2.75,1970-01-01 01:02:33,,,,,
-1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:41,1970-01-01 01:06:59,6.0,18.0,24.0
4.25,-0.25,1970-01-01 01:02:53,,,,,
-0.75,-0.25,1970-01-01 01:03:03,,,,,
-2.75,2.25,1970-01-01 01:03:13,1970-01-01 01:03:18,1970-01-01 01:03:42,5.0,24.0,29.0
2.25,-1.75,1970-01-01 01:03:24,,,,,
-0.75,0.75,1970-01-01 01:03:34,1970-01-01 01:03:39,1970-01-01 01:04:00,5.0,21.0,26.0
1.75,-4.25,1970-01-01 01:03:44,1970-01-01 01:03:49,1970-01-01 01:04:59,5.0,70.0,75.0
-2.25,-0.75,1970-01-01 01:03:54,1970-01-01 01:03:54,1970-01-01 01:04:18,0.0,24.0,24.0
-0.75,-1.25,1970-01-01 01:04:04,1970-01-01 01:04:04,1970-01-01 01:04:19,0.0,15.0,15.0
2.75,-4.25,1970-01-01 01:04:14,,,,,
2.25,3.75,1970-01-01 01:04:24,,,,,
4.25,-1.25,1970-01-01 01:04:34,1970-01-01 01:05:33,1970-01-01 01:05:48,59.0,15.0,74.0
-1.25,0.25,1970-01-01 01:04:44,1970-01-01 01:04:50,1970-01-01 01:06:30,6.0,100.0,106.0
-2.25,-3.25,1970-01-01 01:04:54,1970-01-01 01:05:02,1970-01-01 01:05:21,8.0,19.0,27.0
-2.75,3.25,1970-01-01 01:05:04,1970-01-01 01:05:10,1970-01-01 01:06:02,6.0,52.0,58.0
1.75,1.25,1970-01-01 01:05:14,,,,,
0.75,-1.25,1970-01-01 01:05:25,1970-01-01 01:05:25,1970-01-01 01:05:46,0.0,21.0,21.0
3.25,-1.75,1970-01-01 01:05:35,,,,,
-0.75,-3.25,1970-01-01 01:05:45,1970-01-01 01:05:50,1970-01-01 01:06:50,5.0,60.0,65.0
2.75,-1.75,1970-01-01 01:05:55,,,,,
-1.25,-1.75,1970-01-01 01:06:05,1970-01-01 01:06:13,1970-01-01 01:07:20,8.0,67.0,75.0
0.25,-3.25,1970-01-01 01:06:15,1970-01-01 01:06:26,1970-01-01 01:06:54,11.0,28.0,39.0
0.75,-2.75,1970-01-01 01:06:25,1970-01-01 01:06:25,1970-01-01 01:06:43,0.0,18.0,18.0
-1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:41,1970-01-01 01:06:59,6.0,18.0,24.0
0.75,-1.75,1970-01-01 01:06:55,,,,,
-1.75,-0.75,1970-01-01 01:07:05,1970-01-01 01:07:11,1970-01-01 01:07:40,6.0,29.0,35.0
1.75,-1.25,1970-01-01 01:07:15,1970-01-01 01:07:27,1970-01-01 01:07:47,12.0,20.0,32.0
0.75,-4.25,1970-01-01 01:07:25,1970-01-01 01:07:32,1970-01-01 01:08:52,7.0,80.0,87.0
-2.25,-0.25,1970-01-01 01:07:36,,,,,
1.25,-3.25,1970-01-01 01:07:46,1970-01-01 01:07:55,1970-01-01 01:08:42,9.0,47.0,56.0
3.25,-1.25,1970-01-01 01:07:56,1970-01-01 01:09:23,,87.0,,
3.75,-4.25,1970-01-01 01:08:06,1970-01-01 01:08:07,1970-01-01 01:08:27,1.0,20.0,21.0
1.75,-3.25,1970-01-01 01:08:16,1970-01-01 01:08:21,1970-01-01 01:08:29,5.0,8.0,13.0
-2.75,3.75,1970-01-01 01:08:26,1970-01-01 01:09:15,,49.0,,
0.75,2.75,1970-01-01 01:08:36,,,,,
-3.25,0.25,1970-01-01 01:08:46,1970-01-01 01:08:51,1970-01-01 01:09:16,5.0,25.0,30.0
-2.25,4.25,1970-01-01 01:09:06,1970-01-01 01:09:29,,23.0,,
-1.25,-0.75,1970-01-01 01:09:16,1970-01-01 01:09:17,1970-01-01 01:09:30,1.0,13.0,14.0
1.25,-2.75,1970-01-01 01:09:26,,,,,
-1.25,-0.25,1970-01-01 01:09:36,,,,,
