x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:21,1970-01-01 01:00:38,19.0,17.0,36.0
2.25,2.25,1970-01-01 01:09:06,1970-01-01 01:09:18,1970-01-01 01:09:30,12.0,12.0,24.0
2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:00:33,1970-01-01 01:00:42,1.0,9.0,10.0
3.75,-0.25,1970-01-01 01:00:43,1970-01-01 01:00:46,1970-01-01 01:01:03,3.0,17.0,20.0
-4.25,-0.25,1970-01-01 01:00:53,1970-01-01 01:01:07,1970-01-01 01:01:24,14.0,17.0,31.0
3.25,-3.25,1970-01-01 01:03:44,1970-01-01 01:03:49,1970-01-01 01:04:21,5.0,32.0,37.0
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:18,1970-01-01 01:01:44,5.0,26.0,31.0
0.25,2.75,1970-01-01 01:01:23,1970-01-01 01:01:28,1970-01-01 01:01:46,5.0,18.0,23.0
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:38,1970-01-01 01:02:02,5.0,24.0,29.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:48,1970-01-01 01:03:49,5.0,121.0,126.0
-1.25,-0.25,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:02:06,1.0,12.0,13.0
-2.25,-3.25,1970-01-01 01:08:26,1970-01-01 01:08:26,1970-01-01 01:08:40,0.0,14.0,14.0
0.25,-2.25,1970-01-01 01:02:13,1970-01-01 01:02:14,1970-01-01 01:03:34,1.0,80.0,81.0
-0.75,3.25,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:03:03,6.0,34.0,40.0
-0.75,-4.25,1970-01-01 01:03:24,1970-01-01 01:03:24,1970-01-01 01:03:36,0.0,12.0,12.0
1.25,-3.25,1970-01-01 01:02:43,1970-01-01 01:02:49,1970-01-01 01:03:14,6.0,25.0,31.0
1.25,-1.75,1970-01-01 01:02:53,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:03:04,1970-01-01 01:03:16,0.0,12.0,12.0
-1.75,-3.75,1970-01-01 01:03:14,,,,,
-0.75,-4.25,1970-01-01 01:03:24,1970-01-01 01:03:24,1970-01-01 01:03:36,0.0,12.0,12.0
-0.25,0.75,1970-01-01 01:03:34,1970-01-01 01:03:46,1970-01-01 01:04:40,12.0,54.0,66.0
3.25,-3.25,1970-01-01 01:03:44,1970-01-01 01:03:49,1970-01-01 01:04:21,5.0,32.0,37.0
2.75,0.75,1970-01-01 01:07:15,1970-01-01 01:07:50,1970-01-01 01:08:42,35.0,52.0,87.0
-2.75,-2.25,1970-01-01 01:04:04,1970-01-01 01:04:20,1970-01-01 01:04:43,16.0,23.0,39.0
-2.75,-1.75,1970-01-01 01:04:14,,,,,
-1.25,-1.25,1970-01-01 01:04:24,,,,,
2.25,-3.75,1970-01-01 01:04:34,1970-01-01 01:04:34,1970-01-01 01:04:40,0.0,6.0,6.0
2.25,1.75,1970-01-01 01:04:44,1970-01-01 01:04:45,1970-01-01 01:05:04,1.0,19.0,20.0
-0.75,1.25,1970-01-01 01:07:25,1970-01-01 01:07:31,1970-01-01 01:09:10,6.0,99.0,105.0
2.25,1.25,1970-01-01 01:05:04,1970-01-01 01:05:10,1970-01-01 01:05:39,6.0,29.0,35.0
1.25,-4.25,1970-01-01 01:05:14,1970-01-01 01:05:24,1970-01-01 01:05:42,10.0,18.0,28.0
3.75,2.25,1970-01-01 01:05:24,1970-01-01 01:05:29,1970-01-01 01:05:54,5.0,25.0,30.0
0.25,3.75,1970-01-01 01:05:34,1970-01-01 01:05:40,1970-01-01 01:06:03,6.0,23.0,29.0
-1.25,-2.75,1970-01-01 01:05:44,1970-01-01 01:05:45,1970-01-01 01:05:58,1.0,13.0,14.0
0.75,-0.25,1970-01-01 01:05:55,1970-01-01 01:05:55,1970-01-01 01:06:28,0.0,33.0,33.0
-0.25,4.25,1970-01-01 01:06:05,1970-01-01 01:06:05,1970-01-01 01:06:17,0.0,12.0,12.0
