x,y,spawned,detected,attained,discovery,attainment,total_time
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:19,1970-01-01 01:00:48,7.0,29.0,36.0
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:20,6.0,42.0,48.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:01:30,6.0,42.0,48.0
1.25,2.25,1970-01-01 01:00:52,1970-01-01 01:00:53,1970-01-01 01:01:12,1.0,19.0,20.0
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:07,1970-01-01 01:02:23,-26.0,16.0,-10.0
0.75,0.75,1970-01-01 01:01:13,,,,,
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,1970-01-01 01:02:20,1970-01-01 01:02:38,47.0,18.0,65.0
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:07:25,1970-01-01 01:02:12,1970-01-01 01:02:29,-313.0,17.0,-296.0
2.25,0.75,1970-01-01 01:02:13,,,,,
0.75,1.25,1970-01-01 01:05:55,1970-01-01 01:03:20,1970-01-01 01:04:37,-155.0,77.0,-78.0
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:07,1970-01-01 01:02:23,-26.0,16.0,-10.0
-1.25,4.25,1970-01-01 01:02:44,,,,,
-2.25,-2.25,1970-01-01 01:02:54,,,,,
1.25,-0.25,1970-01-01 01:03:04,1970-01-01 01:03:10,1970-01-01 01:04:27,6.0,77.0,83.0
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:20,1970-01-01 01:03:47,6.0,27.0,33.0
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:44,,,,,
2.75,-3.75,1970-01-01 01:03:54,1970-01-01 01:07:22,1970-01-01 01:07:45,208.0,23.0,231.0
-3.75,-2.25,1970-01-01 01:04:04,,,,,
3.75,-3.75,1970-01-01 01:04:14,,,,,
2.75,3.25,1970-01-01 01:04:24,1970-01-01 01:04:31,1970-01-01 01:04:50,7.0,19.0,26.0
-1.75,-3.25,1970-01-01 01:04:34,,,,,
1.25,2.75,1970-01-01 01:04:44,,,,,
-1.75,-0.25,1970-01-01 01:04:55,,,,,
0.75,0.25,1970-01-01 01:05:05,,,,,
-1.25,-1.75,1970-01-01 01:09:36,,,,,
0.25,-1.75,1970-01-01 01:05:25,1970-01-01 01:06:02,1970-01-01 01:06:26,37.0,24.0,61.0
-3.25,-1.25,1970-01-01 01:05:35,,,,,
-1.25,-3.25,1970-01-01 01:05:45,1970-01-01 01:06:03,1970-01-01 01:06:57,18.0,54.0,72.0
0.75,1.25,1970-01-01 01:05:55,1970-01-01 01:03:20,1970-01-01 01:04:37,-155.0,77.0,-78.0
4.25,-3.25,1970-01-01 01:06:05,,,,,
3.25,3.75,1970-01-01 01:06:15,,,,,
-1.25,3.75,1970-01-01 01:06:25,,,,,
0.25,1.25,1970-01-01 01:06:35,,,,,
-0.75,-1.25,1970-01-01 01:06:45,,,,,
-1.75,-0.75,1970-01-01 01:06:55,,,,,
-1.75,-4.25,1970-01-01 01:08:26,,,,,
3.75,0.25,1970-01-01 01:07:15,,,,,
0.75,-3.75,1970-01-01 01:07:25,1970-01-01 01:02:12,1970-01-01 01:02:29,-313.0,17.0,-296.0
-2.25,0.25,1970-01-01 01:07:35,,,,,
-3.75,-0.75,1970-01-01 01:07:45,,,,,
0.25,1.75,1970-01-01 01:07:56,,,,,
0.75,2.75,1970-01-01 01:08:06,,,,,
-2.25,-4.25,1970-01-01 01:08:16,,,,,
-1.75,-4.25,1970-01-01 01:08:26,,,,,
2.25,3.75,1970-01-01 01:08:46,,,,,
2.25,3.75,1970-01-01 01:08:46,,,,,
-0.25,-0.75,1970-01-01 01:08:56,,,,,
-0.75,4.25,1970-01-01 01:09:06,,,,,
-0.25,1.25,1970-01-01 01:09:16,,,,,
1.25,-3.75,1970-01-01 01:09:26,,,,,
-1.25,-1.75,1970-01-01 01:09:36,,,,,
-0.75,1.25,1970-01-01 01:09:46,,,,,
